DocumentName,NormalizedCollocation,OriginalCollocation,Frequency
VoenObozrenN_0002.t,гиперзвуковой ракета,гиперзвуковая ракета,00000003
VoenObozrenN_0002.t,подводный лодка,подводная лодка,00000003
VoenObozrenN_0002.t,территория великобритания,территории Великобритании,00000003
VoenObozrenN_0002.t,ядерный боевой,ядерная боевая,00000003
VoenObozrenN_0002.t,ядерный держава,ядерная держава,00000003
VoenObozrenN_0002.t,боевой дежурство,боевое дежурство,00000002
VoenObozrenN_0002.t,в61 12,В61-12,00000002
VoenObozrenN_0002.t,в61 13,В61-13,00000002
VoenObozrenN_0002.t,внезапный обезоруживающий удар,внезапный обезоруживающий удар,00000002
VoenObozrenN_0002.t,военно морской база,военно-морская база,00000002
VoenObozrenN_0002.t,истребитель f 35,истребитель F-35,00000002
VoenObozrenN_0002.t,королевский вмф,королевский ВМФ,00000002
VoenObozrenN_0002.t,королевский флот,Королевский флот,00000002
VoenObozrenN_0002.t,нанесение внезапный обезоруживающий удар,нанесение внезапного обезоруживающего удара,00000002
VoenObozrenN_0002.t,нанесение удар,нанесение удара,00000002
VoenObozrenN_0002.t,обезглавливающий удар,обезглавливающий удар,00000002
VoenObozrenN_0002.t,окно возможность,окно возможности,00000002
VoenObozrenN_0002.t,ответный удар,ответный удар,00000002
VoenObozrenN_0002.t,пларб resolution,ПЛАРБ Resolution,00000002
VoenObozrenN_0002.t,противоракетный оборона,противоракетная оборона,00000002
VoenObozrenN_0002.t,руководство страна,руководство страны,00000002
VoenObozrenN_0002.t,страна запад,страна Запада,00000002
VoenObozrenN_0002.t,стратегический бомбардировщик avro vulcan,стратегический бомбардировщик Avro Vulcan,00000002
VoenObozrenN_0002.t,стратегический ядерный сила,стратегические ядерные силы,00000002
VoenObozrenN_0002.t,удар по москва,удар по Москве,00000002
VoenObozrenN_0002.t,ядерный боеголовка,ядерная боеголовка,00000002
VoenObozrenN_0002.t,ядерный бомба,ядерная бомба,00000002
VoenObozrenN_0002.t,ядерный сила,ядерные силы,00000002
VoenObozrenN_0002.t,ядерный триада,ядерная триада,00000002
VoenObozrenN_0002.t,ядерный удар по москва,ядерный удар по Москве,00000002
VoenObozrenN_0002.t,""" венгард ""","""Венгард""",00000001
VoenObozrenN_0002.t,90 х год,90-х годах,00000001
VoenObozrenN_0002.t,pgm 17a,PGM-17A,00000001
VoenObozrenN_0002.t,pgm 17a thor,PGM-17A Thor,00000001
VoenObozrenN_0002.t,xx век,XX век,00000001
VoenObozrenN_0002.t,абстрактный гуманистический побуждение,абстрактные гуманистические побуждения,00000001
VoenObozrenN_0002.t,авиационный комплекс,авиационный комплекс,00000001
VoenObozrenN_0002.t,авиационный комплекс дальний авиация,авиационный комплекс дальней авиации,00000001
VoenObozrenN_0002.t,альтернативный средство,альтернативное средство,00000001
VoenObozrenN_0002.t,альтернативный средство ядерный сдерживание,альтернативные средства ядерного сдерживания,00000001
VoenObozrenN_0002.t,американский брпл,американская БРПЛ,00000001
VoenObozrenN_0002.t,американский брпл trident ii,американская БРПЛ Trident II,00000001
VoenObozrenN_0002.t,американский брсд,американская БРСД,00000001
VoenObozrenN_0002.t,американский производство,американского производства,00000001
VoenObozrenN_0002.t,американский спрн,американская СПРН,00000001
VoenObozrenN_0002.t,артиллерийский снаряд,артиллерийский снаряд,00000001
VoenObozrenN_0002.t,атомный подводный лодка,атомная подводная лодка,00000001
VoenObozrenN_0002.t,баллистический ракета подводный лодка,баллистическая ракета подводной лодки,00000001
VoenObozrenN_0002.t,баллистический ракета средний дальность,баллистическая ракета средней дальности,00000001
VoenObozrenN_0002.t,бесполётный зона,бесполётная зона,00000001
VoenObozrenN_0002.t,благоприятный момент,благоприятного момента,00000001
VoenObozrenN_0002.t,боевой действие,боевое действие,00000001
VoenObozrenN_0002.t,боевой патрулирование,боевое патрулирование,00000001
VoenObozrenN_0002.t,боеспособность вмф,боеспособность ВМФ,00000001
VoenObozrenN_0002.t,боеспособность вмф великобритания,боеспособность ВМФ Великобритании,00000001
VoenObozrenN_0002.t,британский издание,британское издание,00000001
VoenObozrenN_0002.t,британский остров,Британские острова,00000001
VoenObozrenN_0002.t,британский пацифист,британские пацифисты,00000001
VoenObozrenN_0002.t,британский план,британские планы,00000001
VoenObozrenN_0002.t,британский стратегический ядерный сила,британские стратегические ядерные силы,00000001
VoenObozrenN_0002.t,брсд pgm - 17a thor,БРСД PGM -17A Thor,00000001
VoenObozrenN_0002.t,былой величие,былом величии,00000001
VoenObozrenN_0002.t,в комплекс,В-комплекс,00000001
VoenObozrenN_0002.t,важный элемент ядерный сдерживание,важный элемент ядерного сдерживания,00000001
VoenObozrenN_0002.t,василий блаженный,Василия Блаженного,00000001
VoenObozrenN_0002.t,вероятность размещение на территория великобритания истребитель f 35,вероятность размещения на территории Великобритании истребителей F-35,00000001
VoenObozrenN_0002.t,вершина айсберг,вершина айсберга,00000001
VoenObozrenN_0002.t,вмф великобритания,ВМФ Великобритании,00000001
VoenObozrenN_0002.t,вмф рф,ВМФ РФ,00000001
VoenObozrenN_0002.t,военно аналитический структура сша,военно-аналитическая структура США,00000001
VoenObozrenN_0002.t,военно морской база клайд,военно-морская база Клайд,00000001
VoenObozrenN_0002.t,военно морской флот,военно-морским флотом,00000001
VoenObozrenN_0002.t,военно политический управление,военно-политическое управление,00000001
VoenObozrenN_0002.t,воздушный сила,воздушные силы,00000001
VoenObozrenN_0002.t,возможность нанесение ядерный удар,возможность нанесения ядерного удара,00000001
VoenObozrenN_0002.t,возможность нанесение ядерный удар по москва,возможность нанесения ядерного удара по Москве,00000001
VoenObozrenN_0002.t,вооружение вмф,вооружение ВМФ,00000001
VoenObozrenN_0002.t,вооружение вмф рф,вооружение ВМФ РФ,00000001
VoenObozrenN_0002.t,вооружение сухопутный войско,вооружение Сухопутных войск,00000001
VoenObozrenN_0002.t,вооружение сяс,вооружение СЯС,00000001
VoenObozrenN_0002.t,восьмидесятый год,восьмидесятые годы,00000001
VoenObozrenN_0002.t,вс великобритания,ВС Великобритании,00000001
VoenObozrenN_0002.t,второстепенный значение,второстепенного значения,00000001
VoenObozrenN_0002.t,высокий вероятность,высокая вероятность,00000001
VoenObozrenN_0002.t,выход сша,выход США,00000001
VoenObozrenN_0002.t,выход сша из договор,выход США из Договора,00000001
VoenObozrenN_0002.t,выход сша из договор о про,выход США из договора о ПРО,00000001
VoenObozrenN_0002.t,гиперзвуковой крылатый ракета,гиперзвуковая крылатая ракета,00000001
VoenObozrenN_0002.t,главный управление,Главное Управление,00000001
VoenObozrenN_0002.t,главный управление глубоководный исследование,Главное управление глубоководных исследований,00000001
VoenObozrenN_0002.t,глобальный радиоактивный заражение,глобальное радиоактивное заражение,00000001
VoenObozrenN_0002.t,глубинный ядерный бомба,глубинная ядерная бомба,00000001
VoenObozrenN_0002.t,глубоководный исследование,глубоководное исследование,00000001
VoenObozrenN_0002.t,готовность к нанесение удар,готовность к нанесению удара,00000001
VoenObozrenN_0002.t,готовность к проведение переговоры,готовность к проведению переговоров,00000001
VoenObozrenN_0002.t,гражданский война,гражданская война,00000001
VoenObozrenN_0002.t,гражданский судно,гражданских судах,00000001
VoenObozrenN_0002.t,дальний авиация,дальняя авиация,00000001
VoenObozrenN_0002.t,дальность полёт,дальность полёта,00000001
VoenObozrenN_0002.t,двухтысячный год,двухтысячному году,00000001
VoenObozrenN_0002.t,деградация управленческий структура,деградация управленческих структур,00000001
VoenObozrenN_0002.t,договор о про,договор о ПРО,00000001
VoenObozrenN_0002.t,доктрина монро,доктрина Монро,00000001
VoenObozrenN_0002.t,доктрина монро от 1823 год,Доктрина Монро от 1823 года,00000001
VoenObozrenN_0002.t,единый государство,единое государство,00000001
VoenObozrenN_0002.t,житель москва,жители Москвы,00000001
VoenObozrenN_0002.t,забавный пример,забавный пример,00000001
VoenObozrenN_0002.t,забастовка персонал вмб в поддержка лгбт,забастовка персонала ВМБ в поддержку ЛГБТ,00000001
VoenObozrenN_0002.t,законный право,законного права,00000001
VoenObozrenN_0002.t,законный право свободный англосакс,законное право свободного англосакса,00000001
VoenObozrenN_0002.t,занятие оборонительный рубеж по правый бережет днепр,занятие оборонительных рубежей по правому берегу Днепра,00000001
VoenObozrenN_0002.t,запуск гиперзвуковой ракета,запуск гиперзвуковой ракеты,00000001
VoenObozrenN_0002.t,заражение местность,заражение местности,00000001
VoenObozrenN_0002.t,здравый ум,здравый ум,00000001
VoenObozrenN_0002.t,злоупотребляющий алкоголь,злоупотребляющее алкоголем,00000001
VoenObozrenN_0002.t,значительный усилие,значительное усилие,00000001
VoenObozrenN_0002.t,зона досягаемость,зона досягаемости,00000001
VoenObozrenN_0002.t,зона досягаемость гиперзвуковой кр,зона досягаемости гиперзвуковых КР,00000001
VoenObozrenN_0002.t,импотенция советский власть,импотенция советской власти,00000001
VoenObozrenN_0002.t,инфраструктурный объект,инфраструктурные объекты,00000001
VoenObozrenN_0002.t,килотонна тротиловый эквивалент,килотонна тротилового эквивалента,00000001
VoenObozrenN_0002.t,классический неполноценный ядерный держава,классическая неполноценная ядерная держава,00000001
VoenObozrenN_0002.t,классический ядерный триада,классическая ядерная триада,00000001
VoenObozrenN_0002.t,количество ядерный боеголовка,количество ядерных боеголовок,00000001
VoenObozrenN_0002.t,колониальный империя,колониальная империя,00000001
VoenObozrenN_0002.t,команда на запуск гиперзвуковой ракета,команда на запуск гиперзвуковой ракеты,00000001
VoenObozrenN_0002.t,комплекс дальний авиация,комплекс дальней авиации,00000001
VoenObozrenN_0002.t,компьютерный модель,компьютерная модель,00000001
VoenObozrenN_0002.t,компьютерный модель пларб тип dreadnought,компьютерная модель ПЛАРБ типа Dreadnought,00000001
VoenObozrenN_0002.t,контроль подводный обстановка,контроль подводной обстановки,00000001
VoenObozrenN_0002.t,королевский флот великобритания,Королевский флот Великобритании,00000001
VoenObozrenN_0002.t,космический разведка,космическая разведка,00000001
VoenObozrenN_0002.t,красивый название,красивое название,00000001
VoenObozrenN_0002.t,красный площадь,Красная Площадь,00000001
VoenObozrenN_0002.t,крейсер стратегический назначение,крейсер стратегического назначения,00000001
VoenObozrenN_0002.t,кризис в сша,кризис в США,00000001
VoenObozrenN_0002.t,крупный высокоманевренный сила нато,крупные высокоманевренные силы НАТО,00000001
VoenObozrenN_0002.t,крупный высокоманевренный сила нато из приграничный район румыния,крупные высокоманевренные силы НАТО из приграничных районов Румынии,00000001
VoenObozrenN_0002.t,крылатый ракета,крылатая ракета,00000001
VoenObozrenN_0002.t,латинский америка,Латинская Америка,00000001
VoenObozrenN_0002.t,массированный ядерный удар,массированный ядерный удар,00000001
VoenObozrenN_0002.t,матиас руст,Матиас Руст,00000001
VoenObozrenN_0002.t,межконтинентальный баллистический ракета,межконтинентальная баллистическая ракета,00000001
VoenObozrenN_0002.t,мера по снижение заметность,меры по снижению заметности,00000001
VoenObozrenN_0002.t,многоцелевой атомный подводный лодка,многоцелевая атомная подводная лодка,00000001
VoenObozrenN_0002.t,моделирование взрыв,моделирование взрыва,00000001
VoenObozrenN_0002.t,московский область,Московская область,00000001
VoenObozrenN_0002.t,мцапл проект 885m,МЦАПЛ проекта 885M,00000001
VoenObozrenN_0002.t,мцапл- охотник,МЦАПЛ- охотник,00000001
VoenObozrenN_0002.t,наземный базирование,наземного базирования,00000001
VoenObozrenN_0002.t,наземный цель,наземная цель,00000001
VoenObozrenN_0002.t,наличие американский ядерный оружие на британский остров,наличие американского ядерного оружия на британских островах,00000001
VoenObozrenN_0002.t,нанесение гарантированный обезоруживающий удар,нанесение гарантированного обезоруживающего удара,00000001
VoenObozrenN_0002.t,нанесение обезглавливающий удар,нанесение обезглавливающего удара,00000001
VoenObozrenN_0002.t,нанесение обезоруживающий удар,нанесение обезоруживающего удара,00000001
VoenObozrenN_0002.t,нанесение ответный удар,нанесение ответного удара,00000001
VoenObozrenN_0002.t,нанесение россия ядерный удар,нанесение Россией ядерного удара,00000001
VoenObozrenN_0002.t,нанесение россия ядерный удар по великобритания,нанесение Россией ядерного удара по Великобритании,00000001
VoenObozrenN_0002.t,нанесение удар по наземный цель,нанесение удара по наземной цели,00000001
VoenObozrenN_0002.t,нанесение удар по наземный цель с известный координата,нанесение удара по наземным целям с известными координатами,00000001
VoenObozrenN_0002.t,нанесение ядерный удар,нанесение ядерного удара,00000001
VoenObozrenN_0002.t,наркотический препарат,наркотические препараты,00000001
VoenObozrenN_0002.t,наряд привлекаемый сила,наряд привлекаемых сил,00000001
VoenObozrenN_0002.t,негативный процесс,негативные процессы,00000001
VoenObozrenN_0002.t,немецкий пилот,немецкий пилот,00000001
VoenObozrenN_0002.t,неудобный ситуация,неудобная ситуация,00000001
VoenObozrenN_0002.t,нехватка радиус действие,нехватка радиуса действия,00000001
VoenObozrenN_0002.t,обезглавливающий ядерный удар по великобритания,обезглавливающий ядерный удар по Великобритании,00000001
VoenObozrenN_0002.t,обезоруживающий ядерный удар,обезоруживающий ядерный удар,00000001
VoenObozrenN_0002.t,обладающий ядерный оружие,обладающая ядерным оружием,00000001
VoenObozrenN_0002.t,обнаружение пуск,обнаружение пуска,00000001
VoenObozrenN_0002.t,обнаружение пуск ракета,обнаружение пусков ракет,00000001
VoenObozrenN_0002.t,обозримый перспектива,обозримая перспектива,00000001
VoenObozrenN_0002.t,оборонительный рубеж,оборонительный рубеж,00000001
VoenObozrenN_0002.t,огненный вихрь,огненный вихрь,00000001
VoenObozrenN_0002.t,одновременный удар,одновременные удары,00000001
VoenObozrenN_0002.t,односторонний преимущество,одностороннее преимущество,00000001
VoenObozrenN_0002.t,опасный конкурент,опасный конкурент,00000001
VoenObozrenN_0002.t,оперативно тактический ракетный комплекс,оперативно-тактический ракетный комплекс,00000001
VoenObozrenN_0002.t,оперативно тактический ракетный комплекс американский производство,оперативно-тактический ракетный комплекс американского производства,00000001
VoenObozrenN_0002.t,орбитальный эшелон,орбитальный эшелон,00000001
VoenObozrenN_0002.t,орган военно политический управление,орган военно-политического управления,00000001
VoenObozrenN_0002.t,отдельный член,отдельного члена,00000001
VoenObozrenN_0002.t,отношение население,отношение населения,00000001
VoenObozrenN_0002.t,отрицательный последствие,отрицательные последствия,00000001
VoenObozrenN_0002.t,отрицательный последствие для россия,отрицательные последствия для России,00000001
VoenObozrenN_0002.t,официальный договор,официальный договор,00000001
VoenObozrenN_0002.t,пак да,ПАК ДА,00000001
VoenObozrenN_0002.t,пара лето,пара лет,00000001
VoenObozrenN_0002.t,патология сексуальный поведение,патология сексуального поведения,00000001
VoenObozrenN_0002.t,перспективный авиационный комплекс,перспективный авиационный комплекс,00000001
VoenObozrenN_0002.t,перспективный авиационный комплекс дальний авиация,перспективный авиационный комплекс дальней авиации,00000001
VoenObozrenN_0002.t,перспективный американский термоядерный авиабомба в61 13,перспективная американская термоядерная авиабомба В61-13,00000001
VoenObozrenN_0002.t,перспективный термоядерный авиабомба в61 13,перспективная термоядерная авиабомба В61-13,00000001
VoenObozrenN_0002.t,пларб тип dreadnought,ПЛАРБ типа Dreadnought,00000001
VoenObozrenN_0002.t,победа страна запад,победа стран Запада,00000001
VoenObozrenN_0002.t,подводный компонент,подводный компонент,00000001
VoenObozrenN_0002.t,подводный крейсер,подводный крейсер,00000001
VoenObozrenN_0002.t,подводный крейсер стратегический назначение,подводный крейсер стратегического назначения,00000001
VoenObozrenN_0002.t,подводный обстановка,подводная обстановка,00000001
VoenObozrenN_0002.t,поддержка лгбт,поддержка ЛГБТ,00000001
VoenObozrenN_0002.t,подробный рассмотрение,подробного рассмотрения,00000001
VoenObozrenN_0002.t,политический кризис,политический кризис,00000001
VoenObozrenN_0002.t,политический кризис в сша,политический кризис в США,00000001
VoenObozrenN_0002.t,политический руководство,политическим руководством,00000001
VoenObozrenN_0002.t,политический руководство страна,политического руководства стран,00000001
VoenObozrenN_0002.t,полный отказ,полного отказа,00000001
VoenObozrenN_0002.t,половина миллион,половиной миллионов,00000001
VoenObozrenN_0002.t,половина миллион человек,половиной миллионам человек,00000001
VoenObozrenN_0002.t,последствие ядерный удар британский стратегический пларб,последствия ядерного удара британской стратегической ПЛАРБ,00000001
VoenObozrenN_0002.t,поставка вооружение,поставка вооружений,00000001
VoenObozrenN_0002.t,превентивный удар,превентивный удар,00000001
VoenObozrenN_0002.t,предупреждение о ракетный нападение,предупреждение о ракетном нападении,00000001
VoenObozrenN_0002.t,прекращение боевой действие,прекращение боевых действий,00000001
VoenObozrenN_0002.t,приграничный район,приграничный район,00000001
VoenObozrenN_0002.t,приоритетный объект,приоритетные объекты,00000001
VoenObozrenN_0002.t,приоритетный цель,приоритетная цель,00000001
VoenObozrenN_0002.t,проведение переговоры,проведение переговоров,00000001
VoenObozrenN_0002.t,проект 885м,проект 885М,00000001
VoenObozrenN_0002.t,промышленность сша,промышленности США,00000001
VoenObozrenN_0002.t,психический отклонение,психические отклонения,00000001
VoenObozrenN_0002.t,пуск ракета,пуск ракеты,00000001
VoenObozrenN_0002.t,пусковой установка,пусковая установка,00000001
VoenObozrenN_0002.t,радиоактивный заражение,радиоактивное заражение,00000001
VoenObozrenN_0002.t,радиолокационный станция,радиолокационная станция,00000001
VoenObozrenN_0002.t,радиус действие,радиус действия,00000001
VoenObozrenN_0002.t,развал ссср,развал СССР,00000001
VoenObozrenN_0002.t,развёртывание на территория норвегия и финляндия контингент альянс,развёртывание на территории Норвегии и Финляндии контингента альянса,00000001
VoenObozrenN_0002.t,разработка ядерный оружие,разработка ядерного оружия,00000001
VoenObozrenN_0002.t,ракета подводный лодка,ракетами подводные лодки,00000001
VoenObozrenN_0002.t,ракета противник,ракета противника,00000001
VoenObozrenN_0002.t,ракета средний дальность,ракета средней дальности,00000001
VoenObozrenN_0002.t,ракетный комплекс,ракетный комплекс,00000001
VoenObozrenN_0002.t,ракетный комплекс американский производство,ракетный комплекс американского производства,00000001
VoenObozrenN_0002.t,ракетный нападение,ракетное нападение,00000001
VoenObozrenN_0002.t,ракетный подводный крейсер,ракетный подводный крейсер,00000001
VoenObozrenN_0002.t,ракетный подводный крейсер стратегический назначение,ракетный подводный крейсер стратегического назначения,00000001
VoenObozrenN_0002.t,регион россия,регион России,00000001
VoenObozrenN_0002.t,роковой решение,роковое решение,00000001
VoenObozrenN_0002.t,российский войско,российские войска,00000001
VoenObozrenN_0002.t,сверхзвуковой кр,сверхзвуковая КР,00000001
VoenObozrenN_0002.t,свободнопадающий авиабомба,свободнопадающая авиабомба,00000001
VoenObozrenN_0002.t,северный регион,северного региона,00000001
VoenObozrenN_0002.t,северный регион россия,Северного регионов России,00000001
VoenObozrenN_0002.t,сексуальный поведение,сексуального поведения,00000001
VoenObozrenN_0002.t,середина восьмидесятый,середине восьмидесятых,00000001
VoenObozrenN_0002.t,сила нато,силы НАТО,00000001
VoenObozrenN_0002.t,система предупреждение,система предупреждения,00000001
VoenObozrenN_0002.t,система предупреждение о ракетный нападение,система предупреждения о ракетном нападении,00000001
VoenObozrenN_0002.t,система противоракетный оборона,система противоракетной обороны,00000001
VoenObozrenN_0002.t,склад американский ядерный оружие,склад американского ядерного оружия,00000001
VoenObozrenN_0002.t,служба лицо,службе лиц,00000001
VoenObozrenN_0002.t,снижение заметность,снижение заметности,00000001
VoenObozrenN_0002.t,снижение популярность служба в королевский вмф,снижение популярности службы в королевском ВМФ,00000001
VoenObozrenN_0002.t,советский власть,советская власть,00000001
VoenObozrenN_0002.t,современный пларб,современная ПЛАРБ,00000001
VoenObozrenN_0002.t,союзник по нато,союзник по НАТО,00000001
VoenObozrenN_0002.t,специальный организация,специальная организация,00000001
VoenObozrenN_0002.t,спецслужба великобритания,спецслужба Великобритании,00000001
VoenObozrenN_0002.t,средний дальность,средней дальности,00000001
VoenObozrenN_0002.t,средство контроль,средство контроля,00000001
VoenObozrenN_0002.t,средство контроль подводный обстановка,средство контроля подводной обстановки,00000001
VoenObozrenN_0002.t,средство космический разведка,средство космической разведки,00000001
VoenObozrenN_0002.t,средство хранение,средства хранения,00000001
VoenObozrenN_0002.t,средство ядерный сдерживание,средства ядерного сдерживания,00000001
VoenObozrenN_0002.t,степень риск,степени риска,00000001
VoenObozrenN_0002.t,стоянка у пирс,стоянка у пирса,00000001
VoenObozrenN_0002.t,страна латинский америка,стран Латинской Америки,00000001
VoenObozrenN_0002.t,страна нато,страна НАТО,00000001
VoenObozrenN_0002.t,стратегический назначение,стратегического назначения,00000001
VoenObozrenN_0002.t,стратегический ядерный сдерживание,стратегическое ядерное сдерживание,00000001
VoenObozrenN_0002.t,структура сша,структур США,00000001
VoenObozrenN_0002.t,сухопутный войско,сухопутные войска,00000001
VoenObozrenN_0002.t,сяс сша,СЯС США,00000001
VoenObozrenN_0002.t,тактический ядерный оружие,тактическое ядерное оружие,00000001
VoenObozrenN_0002.t,тень былой величие,тень былого величия,00000001
VoenObozrenN_0002.t,территория норвегия,территория Норвегии,00000001
VoenObozrenN_0002.t,территория россия,территория России,00000001
VoenObozrenN_0002.t,тестовый сброс термоядерный авиабомба в61 12 с истребитель f-35,тестовый сброс термоядерной авиабомбы В61-12 с истребителя F-35,00000001
VoenObozrenN_0002.t,траектория полёт,траектория полёта,00000001
VoenObozrenN_0002.t,трайдент ii,Трайдент II,00000001
VoenObozrenN_0002.t,тротиловый эквивалент,тротиловый эквивалент,00000001
VoenObozrenN_0002.t,увольнение моряк королевский флот,увольнение моряков королевского флота,00000001
VoenObozrenN_0002.t,уголок планета,уголках планеты,00000001
VoenObozrenN_0002.t,удар по наземный цель,удар по наземным целям,00000001
VoenObozrenN_0002.t,удар по ссср,удар по СССР,00000001
VoenObozrenN_0002.t,ударный волна,ударная волна,00000001
VoenObozrenN_0002.t,удачный расклад,удачный расклад,00000001
VoenObozrenN_0002.t,уп а,УП-А,00000001
VoenObozrenN_0002.t,управление глубоководный исследование,Управление глубоководных исследований,00000001
VoenObozrenN_0002.t,управленческий структура,управленческая структура,00000001
VoenObozrenN_0002.t,факт атака,факт атаки,00000001
VoenObozrenN_0002.t,флот великобритания,флот Великобритании,00000001
VoenObozrenN_0002.t,чего либо подобный,чем-либо подобном,00000001
VoenObozrenN_0002.t,число первый,числе первых,00000001
VoenObozrenN_0002.t,член организация,член организации,00000001
VoenObozrenN_0002.t,шахтный пусковой установка,шахтная пусковая установка,00000001
VoenObozrenN_0002.t,экспедиционный корпус,экспедиционному корпусу,00000001
VoenObozrenN_0002.t,электромагнитный импульс,электромагнитный импульс,00000001
VoenObozrenN_0002.t,электромагнитный импульс от близкий ядерный взрыв,электромагнитный импульс от близкого ядерного взрыва,00000001
VoenObozrenN_0002.t,ядерный бч,ядерной БЧ,00000001
VoenObozrenN_0002.t,ядерный взрыв,ядерный взрыв,00000001
VoenObozrenN_0002.t,ядерный зима,ядерная зима,00000001
VoenObozrenN_0002.t,ядерный клык,ядерный клык,00000001
VoenObozrenN_0002.t,ядерный паритет,ядерный паритет,00000001
VoenObozrenN_0002.t,ясень м,Ясень-М,00000001
VoenObozrenN_0003.t,автономный система,автономная система,00000004
VoenObozrenN_0003.t,искусственный интеллект,искусственный интеллект,00000004
VoenObozrenN_0003.t,испытание torvice,испытание TORVICE,00000003
VoenObozrenN_0003.t,вооруженный сила,вооруженные силы,00000002
VoenObozrenN_0003.t,вооруженный сила великобритания,вооруженные силы Великобритании,00000002
VoenObozrenN_0003.t,сила великобритания,силы Великобритании,00000002
VoenObozrenN_0003.t,транспортный средство,транспортное средство,00000002
VoenObozrenN_0003.t,автономный система для работа в сложный условие,автономная система для работы в сложных условиях,00000001
VoenObozrenN_0003.t,автономный технология,автономная технология,00000001
VoenObozrenN_0003.t,автономный технология искусственный интеллект,автономная технология искусственного интеллекта,00000001
VoenObozrenN_0003.t,автономный транспортный средство,автономное транспортное средство,00000001
VoenObozrenN_0003.t,боевой пространство,боевое пространство,00000001
VoenObozrenN_0003.t,военный потенциал,военный потенциал,00000001
VoenObozrenN_0003.t,военный потенциал коалиция,военный потенциал коалиции,00000001
VoenObozrenN_0003.t,военный советник,военный советник,00000001
VoenObozrenN_0003.t,время испытание,время испытания,00000001
VoenObozrenN_0003.t,гай пауэлл,Гай Пауэлл,00000001
VoenObozrenN_0003.t,лаборатория оборонный наука,лаборатория оборонной науки,00000001
VoenObozrenN_0003.t,лазерный атака,лазерная атака,00000001
VoenObozrenN_0003.t,министр оборона,министр обороны,00000001
VoenObozrenN_0003.t,министр оборона aukus,министры обороны AUKUS,00000001
VoenObozrenN_0003.t,надежный работа,надежная работа,00000001
VoenObozrenN_0003.t,национальный программа,национальная программа,00000001
VoenObozrenN_0003.t,оборонный наука,оборонная наука,00000001
VoenObozrenN_0003.t,обширный боевой пространство,обширное боевое пространство,00000001
VoenObozrenN_0003.t,определение местоположение,определение местоположения,00000001
VoenObozrenN_0003.t,оптимизация усилие,оптимизация усилий,00000001
VoenObozrenN_0003.t,первый испытание,первые испытания,00000001
VoenObozrenN_0003.t,подполковник расс атертон,подполковник Расс Атертон,00000001
VoenObozrenN_0003.t,поле бой,поле боя,00000001
